Uuid,Void/Retire,Name,Description,Parent,Tags,Tag,Attribute|8a845a89-6aa5-4111-81d3-0af31c45c002,Address 1,Address 2,Address 3,Address 4,Address 5,Address 6,City/Village,County/District,State/Province,Postal Code,Country,_order:1000,Tag|Admission Location,Tag|Transfer Location,Tag|Maternity Ward,Tag|Queue Location
1aa5fd9d-fd49-416b-a05c-83a3691947aa,,Ramula Dispensary,Dispensary,,,,20331,,,,,Ombeyi,Muhoroni,,Kisumu,Kisumu,,Kenya,,,,,
f1415895-b0da-46e7-a44f-3222e18322bb,,Migere Dispensary,Dispensary,,,,21487,,,,, Masogo/Nyang'oma ,Muhoroni,,Kisumu,Kisumu,,Kenya,,,,,
622ac5ec-e796-47d2-bbfe-7b59c201d2ee,,Agok Dispensary,Dispensary,,,,28808,,,,,South Uyoma ,Rarieda,,Siaya,Siaya,,Kenya,,,,,
f326a0d6-7942-4976-9be9-7370e679be4e,,Bar Owengo Dispensary,Dispensary,,,,29056,,,,,West Ugenya ,Ugenya,,Siaya,Siaya,,Kenya,,,,,
33622ac0-e039-4734-bc69-9409ccc8625f,,Gangu Dispensary,Dispensary,,,,27336,,,,,West Alego ,Alego Usonga,,Siaya,Siaya,,Kenya,,,,,
6c6348ca-60ee-4fee-ad53-a35f6884c04e,,Inungo Dispensary,Dispensary,,,,27167,,,,,East Ugenya ,Ugenya,,Siaya,Siaya,,Kenya,,,,,
cfe692ed-ffca-405f-82ad-b76958b6b494,,Jar Dispensary,Dispensary,,,,30256,,,,,West Asembo ,Rarieda,,Siaya,Siaya,,Kenya,,,,,
cfa3fe9b-903e-42d8-b489-047a3d2a46bd,,Lur Dispensary,Dispensary,,,,29059,,,,,East Ugenya ,Ugenya,,Siaya,Siaya,,Kenya,,,,,
6abec92e-06df-4241-85c7-a43215d00609,,Lwero Dispensary,Dispensary,,,,29058,,,,,Ukwala ,Ugenya,,Siaya,Siaya,,Kenya,,,,,
2dcb08f2-4df6-4d70-b60a-7ac2f08928a4,,Mago Dispensary,Dispensary,,,,27933,,,,,Yimbo East ,Bondo,,Siaya,Siaya,,Kenya,,,,,
99730039-4b20-4338-b6d5-309efd632d7d,,Malunga Dispensary,Dispensary,,,,27797,,,,,West Gem ,Gem,,Siaya,Siaya,,Kenya,,,,,
ea459511-211e-4265-935d-4e402f3df8e9,,Masita Dispensary,Dispensary,,,,27947,,,,,West Sakwa ,Bondo,,Siaya,Siaya,,Kenya,,,,,
2b207ef3-97c7-42c3-8686-3b36494b6b32,,Matera Dispensary,Dispensary,,,,28807,,,,,North Uyoma ,Rarieda,,Siaya,Siaya,,Kenya,,,,,
50330d94-e34d-49db-b8ca-9f822a66f5e7,,Mbeka Health Centre,Health Centre,,,,21517,,,,,Central Sakwa ,Bondo,,Siaya,Siaya,,Kenya,,,,,
13e3cfe1-2ce7-473b-9115-98434c6bb84a,,Mdondo Dispensary,Dispensary,,,,29060,,,,,West Ugenya ,Ugenya,,Siaya,Siaya,,Kenya,,,,,
